"country_name","v2x_polyarchy","v2x_libdem","v2x_feduni","v2x_divparctrl","v2jureview","d_bicam","v2xcl_rol","e_gdppc","lvaw_garriga","ind_cso"
"Central African Republic",0.32796875,0.1935,0,1.10575,0.76609375,0,0.35403125,0.927666666666667,0.50145,0.454375
"Chad",0.2506875,0.0905625,0,-1.05996875,0.98403125,0,0.30771875,1.42983333333333,0.50145,0.4234375
"Chile",0.868,0.81165625,0.491125,0.57534375,1.09,1,0.94384375,16.8083666666667,0.819,0.4278125
"China",0.0928125,0.05240625,0,-1.17,-1.7015,0,0.27475,7.7591,0.515274276086957,0.55
"Colombia",0.59584375,0.465125,0.9753125,0.6910625,0.993375,1,0.6268125,10.2089333333333,0.65620652173913,0.391875
"Comoros",0.40096875,0.2125625,0.709375,0.52015625,-0.7226875,0.148148148148148,0.54334375,2.315,0.555895839130435,0.6265625
"Costa Rica",0.9043125,0.85296875,0.48784375,0.40728125,1.872,0,0.9710625,12.2157666666667,0.677673913043478,0.57125
"Croatia",0.665129032258065,0.53458064516129,0.868161290322581,0.388387096774194,1.635,0.32258064516129,0.846903225806452,17.1166206896552,0.682571431428571,0.430967741935484
"Cuba",0.1361875,0.0645625,0.72028125,-0.221,-1.785,0,0.25671875,6.12606666666667,0.22518641,0.615625
"Cyprus",0.8170625,0.69525,0.47690625,0.6441875,1.129,0,0.88903125,26.1092,0.5751754,0.6515625
"Czech Republic",0.87103125,0.79428125,0.87434375,0.0395625,1.7676875,0.875,0.96309375,25.2997333333333,0.7695000125,0.3203125
"Democratic Republic of the Congo",0.253875,0.099,0.32384375,0.09984375,-0.41953125,0.761904761904762,0.21415625,0.758866666666667,0.494065217391304,0.471875
"Denmark",0.9109375,0.88478125,0.9851875,-0.18453125,1.781,0,0.9915625,40.1082333333333,0.5025526,0.7740625
"Djibouti",0.24225,0.11428125,0.128,0.78025,0.0821875,0,0.484625,3.1987,0.670583925384615,0.540625
"Dominican Republic",0.5628125,0.30971875,0.464,-0.551,0.9795625,1,0.755125,9.50736666666667,0.636119565217391,0.4534375
"Ecuador",0.6655625,0.4148125,0.924875,0.5576875,0.936,0,0.8065625,8.05983333333333,0.783747023809524,0.648125
"Egypt",0.20753125,0.1436875,0,-0.4371875,1.23659375,0.851851851851852,0.3671875,6.20953333333333,0.490619565217391,0.6071875
"El Salvador",0.53375,0.34028125,0.45784375,-0.1228125,1.522,0,0.57128125,3.9264,0.587176144545455,0.3734375
"Equatorial Guinea",0.1813125,0.05584375,0,0.98778125,-0.95275,0.28125,0.21659375,20.9494,0.50145,0.546875
"Eritrea",0.0819375,0.01596875,0.0019375,-0.8700625,-1.06446875,0,0.07334375,21.4311666666667,NA,0.5146875
"Estonia",0.8511875,0.79,0.4889375,-0.359,1.716125,0,0.9576875,19.5661666666667,0.85877275,0.310625
"Eswatini",0.12715625,0.10265625,0.42546875,-1.14775,0.0741875,1,0.35303125,7.2641,NA,0.570625
"Ethiopia",0.241375,0.11253125,0.24553125,0.3269375,-0.77603125,0.870967741935484,0.476375,1.02926666666667,0.423663043478261,0.490625
"Fiji",0.376125,0.265875,0.20715625,-0.48128125,-0.157375,0.619047619047619,0.75215625,7.46673333333333,0.405875,0.425625
"Finland",0.87534375,0.83596875,0.49025,0.258625,-1.1425,0,0.9895,34.0311333333333,0.65348892173913,0.819375
"France",0.8838125,0.812125,0.9425625,-0.6015625,1.73,1,0.9773125,35.4837333333333,0.778277175652174,0.6946875
"Gabon",0.3539375,0.21,0.5189375,-1.1074375,-0.6915,0.78125,0.8398125,11.1143666666667,0.50145,0.2515625
